,,,,,Personnes déplacées internes,,,,,Personnes retournées de RCA (Ex-PDI),,,,,Personnes retournées en provenance d'autre pays,,,,,source d'information (Nbre),Qualité de la données,,,
_ADM1_NAME,_ADM2_NAME,_ADM3_NAME,_V_CODE,_Village,idps,hh_idp,ind_idp,abris_pdi_site,abris_pdi_hors_site,retournes,hh_ret_rca,ind_ret_rca,abris_ret_site,abris_ret_hors_site,retournes_etrangers,hh_ret_oth,ind_ret_oth,abris_reto_site,abris_reto_hors_site,Nbre_Informateurs_cles,coherence_informateurs,coherence_observation,existence_preuves,perception_enumerateur
Bangui,Bangui,3e Arrondissement,CF7113_SAR_0001,SARA DAH,non,0,0,0,0,oui,16,80,0,16,oui,1,5,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bangui,Bangui,3e Arrondissement,CF7113_SAR_0000,SARA-KABA,non,0,0,0,0,oui,10,50,0,10,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bangui,Bangui,3e Arrondissement,CF7113_SEN_0000,SENEGALAIS,oui,660,3300,0,660,oui,80,400,0,80,oui,700,3500,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bangui,Bangui,3e Arrondissement,CF7113_YAK_0000,YAKITE,oui,116,580,0,116,oui,12,60,0,12,oui,10,50,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bangui,Bangui,3e Arrondissement,CF7113_YAL_0001,YALOA 1,oui,660,3300,0,660,oui,388,1940,0,388,oui,304,1520,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bangui,Bangui,3e Arrondissement,CF7113_YAL_0000,YALOA 2,oui,800,4000,0,800,oui,100,500,0,100,oui,216,1080,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Bangui,Bangui,3e Arrondissement,CF7113_YAM_0000,YAMBASSA,oui,120,600,0,120,non,0,0,0,0,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Alindao,Alindao,CF6121_BAN_0000,BANGUI-VILLE,oui,191,955,191,0,oui,8,26,0,8,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Alindao,Alindao,CF6121_BOR_0000,BORNO,oui,145,675,0,145,oui,95,504,0,95,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Alindao,Alindao,CF6121_KON_0000,KONGO 2,oui,837,4175,837,0,oui,28,140,0,28,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Alindao,Alindao,CF6121_MIS_0000,MISSION CATHOLIQUE,oui,6115,25645,6115,0,non,0,0,0,0,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
Basse-Kotto,Alindao,Alindao,CF6121_NGA_0000,NGABE 1,oui,113,560,0,113,oui,38,117,0,38,non,0,0,0,,3,oui_majorite,oui_majorite,en_partie,moyen
