,VillageAll,GPS.point,admin1Name,admin1Pcod,admin2,admin2Pcod,admin3Name,admin3Pcod,TotalPop_fixe,VillageAll_test,VillageAll_admin2
206, Djaindola 2,"19.1384119999999,5.978469",Kï¿½,CF41,Sibut,CF411,Ngoumbele,CF4112,767.08887,djaindola2,djaindola2 _ Sibut
207, Djembe,"15.846601,4.90937",Mambï¿½ï¿½ï¿½,CF21,Carnot,CF213,Carnot,CF2131,1638.203793,djembe,djembe _ Carnot
208, Djouda 1,"19.236778,5.079775",Kï¿½,CF41,Ndjoukou,CF414,Galafondo,CF4141,1097.084837,djouda1,djouda1 _ Ndjoukou
209, Domale,"16.1658329999999,3.683034",Sangha-Mbaï¿½,CF23,Nola,CF231,Nola,CF2311,756.800408,domale,domale _ Nola
210, Dongbe 1,"18.5798859999999,5.09926",Ombella M'Poko,CF11,Damara,CF112,Damara,CF1121,338.705776,dongbe1,dongbe1 _ Damara
211, Dongo,"15.300319,4.229319",Mambï¿½ï¿½ï¿½,CF21,Gamboula,CF212,Basse-Boumnï,CF2121,666.801978,dongo,dongo _ Gamboula
213, Donlogo,"15.6959219999999,4.228963",Mambï¿½ï¿½ï¿½,CF21,Berberati,CF211,Ouakanga,CF2113,1414.573108,donlogo,donlogo _ Berberati
214, Dori,"15.289197,3.9077",Mambï¿½ï¿½ï¿½,CF21,Dede-Mokouba,CF216,Haute-Kadï¿,CF2161,3078.051315,dori,dori _ Dede-Mokouba
215, Dougba,"21.27015,4.632717",Basse-Kotto,CF61,Mobaye,CF611,Mbï¿½ï,CF6112,1448.352368,dougba,dougba _ Mobaye
217, Doungba 4,"20.448902,4.950704",Ouaka,CF43,Kouango,CF434,Cochio-Toulou,CF4343,477.429877,doungba4,doungba4 _ Kouango
218, Fadama,"22.7583899999999,5.723679",Mbomou,CF62,Bakouma,CF625,Bakouma,CF6251,1064.157161,fadama,fadama _ Bakouma
222, Garga Zallo,"15.00536,6.343766",Nana-Mambï¿½,CF22,Baboua,CF223,Goudrot,CF2232,404.023038,gargazallo,gargazallo _ Baboua
223, Gba,"18.606138,4.700808",Ombella M'Poko,CF11,Damara,CF112,Damara,CF1121,898.14116,gba,gba _ Damara
224, Gbabi 1,"21.213546,4.40115",Basse-Kotto,CF61,Mobaye,CF611,Mbï¿½ï,CF6112,1079.836677,gbabi1,gbabi1 _ Mobaye
225, Gbaboua,"15.188069,5.581446",Nana-Mambï¿½,CF22,Baboua,CF223,Fo,CF2235,291.477609,gbaboua,gbaboua _ Baboua
226, Gbada,"20.0592539999999,5.067707",Ouaka,CF43,Kouango,CF434,Azï¿½ï¿½ï¿½ï¿½,CF4342,1689.438891,gbada,gbada _ Kouango
227, Gbadou,"18.52449,6.840677",Ouham,CF32,Bouca,CF325,Lady Gbawi,CF3252,560.536544,gbadou,gbadou _ Bouca
228, Gbagaza,"15.096651,5.376155",Nana-Mambï¿½,CF22,Abba,CF224,Abba,CF2241,835.196586,gbagaza,gbagaza _ Abba
229, Gbagomara,"20.020814,4.980583",Ouaka,CF43,Kouango,CF434,Kouango,CF4341,575.589789,gbagomara,gbagomara _ Kouango
230, Gbahao,"18.145242,4.762233",Ombella M'Poko,CF11,Boali,CF114,Boali,CF1141,820.393236,gbahao,gbahao _ Boali
232, Gbama 3,"21.713676,4.5008",Basse-Kotto,CF61,Kembe,CF613,Mboui,CF6132,682.690174,gbama3,gbama3 _ Kembe
234, Gbambia,"14.9855579999999,4.791097",Mambï¿½ï¿½ï¿½,CF21,Amada-Gaza,CF214,Haute-Boumbï,CF2141,2645.272443,gbambia,gbambia _ Amada-Gaza
235, Gbanli,"18.249044,5.627105",Ombella M'Poko,CF11,Bogangolo,CF113,Bogangolo,CF1131,256.546621,gbanli,gbanli _ Bogangolo
236, Gbaya 2,"18.5660379999999,4.649842",Ombella M'Poko,CF11,Damara,CF112,Damara,CF1121,1914.258488,gbaya2,gbaya2 _ Damara
237, Gbaza,"21.1930669999999,6.236308",Ouaka,CF43,Ippy,CF435,Ippy,CF4351,1959.704772,gbaza,gbaza _ Ippy
239, Gbegon,"18.97184,6.385235",Kï¿½,CF41,Dekoa,CF412,Dekoa,CF4121,552.580019,gbegon,gbegon _ Dekoa
240, Gbele,"18.68164,4.906231",Ombella M'Poko,CF11,Damara,CF112,Damara,CF1121,517.572872,gbele,gbele _ Damara
241, Gbiangora,"19.621582,5.209932",Kï¿½,CF41,Ndjoukou,CF414,Galabadja,CF4142,429.472518,gbiangora,gbiangora _ Ndjoukou
242, Gbombe,"22.748678,4.832464",Mbomou,CF62,Bangassou,CF621,Sayo Niakari,CF6212,1259.074815,gbombe,gbombe _ Bangassou
243, Gomoko,"18.27533,4.642701",Ombella M'Poko,CF11,Boali,CF114,Boali,CF1141,1019.79437,gomoko,gomoko _ Boali
244, Gou 2,"19.134488,6.408298",Kï¿½,CF41,Dekoa,CF412,Tilo,CF4122,416.064552,gou2,gou2 _ Dekoa
246, Gouadje 2,"20.943788,4.482914",Basse-Kotto,CF61,Zangba,CF615,Ouambï,CF6151,744.460228,gouadje2,gouadje2 _ Zangba
247, Gouhoutou,"19.756544,5.75123",Ouaka,CF43,Grimari,CF433,Kobadja,CF4332,677.54315,gouhoutou,gouhoutou _ Grimari
249, Goussouma,"19.6281819999999,5.788247",Ouaka,CF43,Grimari,CF433,Kobadja,CF4332,4353.507813,goussouma,goussouma _ Grimari
254, Gpt Kouki,"17.2980899999999,7.156851",Ouham,CF32,Nana-Bakassa,CF322,Nana-Bakassa,CF3221,6915.360492,gptkouki,gptkouki _ Nana-Bakassa
255, Groupement Douane,"15.267158,6.518254",Nana-Mambï¿½,CF22,Bouar,CF221,Niem-Yelewa,CF2212,1844.876729,groupementdouane,groupementdouane _ Bouar
256, Groupement Mbormon,"16.1548139999999,5.609761",Nana-Mambï¿½,CF22,Baoro,CF222,Bawi Tï¿½ï,CF2221,953.917458,groupementmbormon,groupementmbormon _ Baoro
257, Guerengou-Pont,"18.5302539999999,4.580375",Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111,975.499635,guerengou-pont,guerengou-pont _ Bimbo
258, Guigui Banda,"19.60164,5.312913",Kï¿½,CF41,Ndjoukou,CF414,Galabadja,CF4142,668.850642,guiguibanda,guiguibanda _ Ndjoukou
259, Guissibanda,"19.63494,5.893393",Ouaka,CF43,Grimari,CF433,Kobadja,CF4332,451.695433,guissibanda,guissibanda _ Grimari
260, Ikoumba,"18.607132,3.530932",Lobaye,CF12,Mongoumba,CF122,Mongoumba,CF1221,1130.467384,ikoumba,ikoumba _ Mongoumba
261, Ippy,"21.1966,6.260115",Ouaka,CF43,Ippy,CF435,Ippy,CF4351,12119.89089,ippy,ippy _ Ippy
262, Ivoro,"18.589986,3.607606",Lobaye,CF12,Mongoumba,CF122,Mongoumba,CF1221,1503.148939,ivoro,ivoro _ Mongoumba
263, Kaeta,"15.557707,6.172659",Nana-Mambï¿½,CF22,Bouar,CF221,Herman-Brousse,CF2213,475.107184,kaeta,kaeta _ Bouar
266, Kambayeke,"15.318375,3.893302",Mambï¿½ï¿½ï¿½,CF21,Dede-Mokouba,CF216,Haute-Kadï¿,CF2161,976.210449,kambayeke,kambayeke _ Dede-Mokouba
267, Kandjia 2,"20.0454259999999,5.489931",Ouaka,CF43,Grimari,CF433,Lissa,CF4333,1249.311519,kandjia2,kandjia2 _ Grimari
268, Kapabanda,"20.6234019999999,5.749739",Ouaka,CF43,Bambari,CF431,Pladama-Ouaka,CF4314,321.233694,kapabanda,kapabanda _ Bambari
269, Kassa-Zoya,"15.585148,5.81985",Nana-Mambï¿½,CF22,Bouar,CF221,Zotoua-Bangarem,CF2214,406.420981,kassa-zoya,kassa-zoya _ Bouar
270, Kava 2,"18.51418,7.56606",Ouham,CF32,Kabo,CF327,Ouaki,CF3272,1391.685207,kava2,kava2 _ Kabo
271, Kawa,"21.3244919999999,4.903951",Basse-Kotto,CF61,Alindao,CF612,Guiligui,CF6122,1830.274769,kawa,kawa _ Alindao
272, Kembe,"21.890037,4.614079",Basse-Kotto,CF61,Kembe,CF613,Kembï,CF6131,8219.645855,kembe,kembe _ Kembe
273, Kemngoyeye,"18.5705999999999,7.6412",Ouham,CF32,Kabo,CF327,Sido,CF3271,538.491352,kemngoyeye,kemngoyeye _ Kabo
274, Kobadja,"19.927872,6.331621",Ouaka,CF43,Bakala,CF432,Koudou-Bï¿½,CF4321,1184.439274,kobadja,kobadja _ Bakala
275, Kodi,"15.670517,7.400158",Ouham Pendï,CF31,Ngaoundaye,CF315,Lim,CF3152,1846.834404,kodi,kodi _ Ngaoundaye
276, Kodje 1,"20.959664,4.475588",Basse-Kotto,CF61,Zangba,CF615,Ouambï,CF6151,883.611672,kodje1,kodje1 _ Zangba
277, Kodje 3,"20.974156,4.471018",Basse-Kotto,CF61,Zangba,CF615,Ouambï,CF6151,333.963467,kodje3,kodje3 _ Zangba
278, Koe,"15.183228,5.53019",Nana-Mambï¿½,CF22,Abba,CF224,Abba,CF2241,385.198671,koe,koe _ Abba
279, Korando,"15.225398,4.199319",Mambï¿½ï¿½ï¿½,CF21,Gamboula,CF212,Basse-Boumnï,CF2121,516.900758,korando,korando _ Gamboula
280, Koropeke,"17.205794,4.748796",Lobaye,CF12,Boganangone,CF124,Boganangone,CF1241,3262.295318,koropeke,koropeke _ Boganangone
281, Kotissako,"20.3856019999999,8.14359",Bamingui-Bangoran,CF51,Bamingui,CF512,Vassako,CF5121,1514.617279,kotissako,kotissako _ Bamingui
282, Koudoukou,"20.218688,6.216192",Ouaka,CF43,Bakala,CF432,Koudou-Bï¿½,CF4321,1052.166868,koudoukou,koudoukou _ Bakala
283, Kouleo,"15.887639,7.309385",Ouham Pendï,CF31,Ngaoundaye,CF315,Yï¿½,CF3154,864.781788,kouleo,kouleo _ Ngaoundaye
284, Kouma,"19.442536,6.174604",Kï¿½,CF41,Mala,CF413,Mala,CF4131,1103.824739,kouma,kouma _ Mala
285, Koumba,"16.190311,3.707276",Sangha-Mbaï¿½,CF23,Nola,CF231,Nola,CF2311,2718.506728,koumba,koumba _ Nola
286, Koumbe,"15.552777,6.009403",Nana-Mambï¿½,CF22,Bouar,CF221,Herman-Brousse,CF2213,930.953266,koumbe,koumbe _ Bouar
287, Koyabrou,"21.2709779999999,4.539296",Basse-Kotto,CF61,Mobaye,CF611,Mbï¿½ï,CF6112,857.013236,koyabrou,koyabrou _ Mobaye
288, Kpanba 1,"18.5347879999999,4.477101",Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111,1646.950082,kpanba1,kpanba1 _ Bimbo
290, Kpeketo,"18.244278,4.180372",Lobaye,CF12,Mbaiki,CF121,Pissa,CF1213,1973.29845,kpeketo,kpeketo _ Mbaiki
291, Kpete,"23.8895979999999,4.996267",Mbomou,CF62,Rafai,CF624,Rafai,CF6241,728.626523,kpete,kpete _ Rafai
292, Kpoulou,"20.826252,4.548103",Basse-Kotto,CF61,Zangba,CF615,Ouambï,CF6151,431.369478,kpoulou,kpoulou _ Zangba
296, Lidjombo,"16.097193,2.693515",Sangha-Mbaï¿½,CF23,Bayanga,CF233,Yobï¿½ï¿½ï¿,CF2331,611.205405,lidjombo,lidjombo _ Bayanga
298, Loungba,"23.898776,5.002107",Mbomou,CF62,Rafai,CF624,Rafai,CF6241,1326.867248,loungba,loungba _ Rafai
299, Makembe,"22.929212,4.9036",Mbomou,CF62,Bangassou,CF621,Voungba-Balifondo,CF6213,1916.993778,makembe,makembe _ Bangassou
300, Mala,"19.509564,6.11016",Kï¿½,CF41,Mala,CF413,Mala,CF4131,2322.631222,mala,mala _ Mala
301, Mambele,"16.6401329999999,3.927855",Sangha-Mbaï¿½,CF23,Bambio,CF232,Mbaï¿½,CF2321,4722.123048,mambele,mambele _ Bambio
302, Maorka,"19.6668619999999,6.662086",Nana-Gribizi,CF42,Mbres,CF422,Mbrï¿,CF4221,1832.951063,maorka,maorka _ Mbres
303, Maraba,"18.6614059999999,4.8472",Ombella M'Poko,CF11,Damara,CF112,Damara,CF1121,677.411553,maraba,maraba _ Damara
304, Marba,"19.589514,6.075952",Kï¿½,CF41,Mala,CF413,Mala,CF4131,1019.504794,marba,marba _ Mala
305, Mategba,"20.74051,4.731464",Basse-Kotto,CF61,Zangba,CF615,Yabongo,CF6152,297.838834,mategba,mategba _ Zangba
306, Mayaka,"16.874884,5.272135",Mambï¿½ï¿½ï¿½,CF21,Gadzi,CF217,Mbali,CF2172,2404.152634,mayaka,mayaka _ Gadzi
307, Mayo-Lara 1,"14.941215,6.39793",Nana-Mambï¿½,CF22,Baboua,CF223,Goudrot,CF2232,425.513625,mayo-lara1,mayo-lara1 _ Baboua
308, Mbaina,"16.549354,5.168576",Mambï¿½ï¿½ï¿½,CF21,Gadzi,CF217,Topia,CF2171,4656.422456,mbaina,mbaina _ Gadzi
309, Mbata,"18.2906219999999,3.694272",Lobaye,CF12,Mbaiki,CF121,Mbata,CF1212,6796.897398,mbata,mbata _ Mbaiki
310, Mbereguili,"15.532073,7.257038",Ouham Pendï,CF31,Ngaoundaye,CF315,Kodi,CF3153,729.765483,mbereguili,mbereguili _ Ngaoundaye
311, Mbiko,"15.233408,3.935903",Mambï¿½ï¿½ï¿½,CF21,Dede-Mokouba,CF216,Haute-Kadï¿,CF2161,617.602529,mbiko,mbiko _ Dede-Mokouba
312, Mblebanda,"20.560486,5.697496",Ouaka,CF43,Bambari,CF431,Pladama-Ouaka,CF4314,468.685226,mblebanda,mblebanda _ Bambari
313, Mboryanga,"15.593609,5.798499",Nana-Mambï¿½,CF22,Bouar,CF221,Zotoua-Bangarem,CF2214,570.300409,mboryanga,mboryanga _ Bouar
316, Mengue Bokengue,"19.191748,6.910103",Nana-Gribizi,CF42,Kaga-Bandoro,CF421,Ndenga,CF4215,2014.470007,menguebokengue,menguebokengue _ Kaga-Bandoro
317, Monassao,"16.245272,3.250687",Sangha-Mbaï¿½,CF23,Bayanga,CF233,Yobï¿½ï¿½ï¿,CF2331,3094.833717,monassao,monassao _ Bayanga
318, Mongo,"18.5683979999999,3.77177",Lobaye,CF12,Mongoumba,CF122,Mongoumba,CF1221,434.795148,mongo,mongo _ Mongoumba
319, Mourou Fleuve,"19.5285359999999,5.162973",Kï¿½,CF41,Ndjoukou,CF414,Galabadja,CF4142,309.783455,mouroufleuve,mouroufleuve _ Ndjoukou
320, Nadziboro,"15.409375,5.275151",Nana-Mambï¿½,CF22,Abba,CF224,Nadziboro,CF2242,524.87401,nadziboro,nadziboro _ Abba
321, Nalimo,"16.155549,3.494285",Sangha-Mbaï¿½,CF23,Nola,CF231,Nola,CF2311,2678.675128,nalimo,nalimo _ Nola
322, Nangoko,"15.361528,4.250441",Mambï¿½ï¿½ï¿½,CF21,Gamboula,CF212,Basse-Boumnï,CF2121,7130.7392,nangoko,nangoko _ Gamboula
324, Ndele,"20.6479989999999,8.411999",Bamingui-Bangoran,CF51,Ndele,CF511,Dar El Kouti,CF5111,9694.506056,ndele,ndele _ Ndele
325, Ndia,"18.54149,4.292519",Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111,453.34166,ndia,ndia _ Bimbo
326, Ndiba,"19.68624,6.657368",Nana-Gribizi,CF42,Mbres,CF422,Mbrï¿,CF4221,1367.663486,ndiba,ndiba _ Mbres
327, Ndimba 1,"18.45618,7.47513",Ouham,CF32,Kabo,CF327,Ouaki,CF3272,386.579224,ndimba1,ndimba1 _ Kabo
328, Ndjangala,"19.8180979999999,5.754308",Ouaka,CF43,Grimari,CF433,Kobadja,CF4332,1488.541769,ndjangala,ndjangala _ Grimari
329, Ndjo,"17.602892,5.70007",Ombella M'Poko,CF11,Bossembele,CF115,Bossembï¿½,CF1151,2404.711207,ndjo,ndjo _ Bossembele
330, Ngabongo,"15.164505,4.903163",Mambï¿½ï¿½ï¿½,CF21,Amada-Gaza,CF214,Haute-Boumbï,CF2141,773.552255,ngabongo,ngabongo _ Amada-Gaza
331, Ngaboua,"16.458485,4.848818",Mambï¿½ï¿½ï¿½,CF21,Gadzi,CF217,Topia,CF2171,2613.792231,ngaboua,ngaboua _ Gadzi
332, Ngalia,"21.7633,4.610944",Basse-Kotto,CF61,Kembe,CF613,Kembï,CF6131,583.601887,ngalia,ngalia _ Kembe
333, Ngamongo,"14.909646,5.823615",Nana-Mambï¿½,CF22,Baboua,CF223,Baboua,CF2231,534.869072,ngamongo,ngamongo _ Baboua
334, Ngandio,"15.5426319999999,3.995325",Mambï¿½ï¿½ï¿½,CF21,Sosso-Nakombo,CF215,Basse-Kadï¿,CF2151,1265.17032,ngandio,ngandio _ Sosso-Nakombo
335, Ngapo,"20.9020459999999,4.729721",Basse-Kotto,CF61,Zangba,CF615,Yabongo,CF6152,320.749513,ngapo,ngapo _ Zangba
336, Ngbaboko,"16.1690119999999,4.660785",Mambï¿½ï¿½ï¿½,CF21,Carnot,CF213,Carnot,CF2131,1070.78125,ngbaboko,ngbaboko _ Carnot
337, Ngbafio 1,"15.4112849999999,5.310668",Nana-Mambï¿½,CF22,Abba,CF224,Abba,CF2241,270.183515,ngbafio1,ngbafio1 _ Abba
338, Ngbanda,"23.094334,4.829665",Mbomou,CF62,Bangassou,CF621,Zangandou,CF6214,324.576345,ngbanda,ngbanda _ Bangassou
339, Ngbando 1,"21.7311079999999,4.342946",Basse-Kotto,CF61,Satema,CF616,Kotto-Oubangui,CF6161,822.08903,ngbando1,ngbando1 _ Satema
341, Ngonza,"23.9209059999999,4.988969",Mbomou,CF62,Rafai,CF624,Rafai,CF6241,1449.583294,ngonza,ngonza _ Rafai
342, Ngopama,"18.506022,3.698151",Lobaye,CF12,Mongoumba,CF122,Mongoumba,CF1221,459.640585,ngopama,ngopama _ Mongoumba
343, Ngotto,"17.33612,4.033818",Lobaye,CF12,Boda,CF123,Lobaye,CF1232,6205.8423,ngotto,ngotto _ Boda
344, Ngoubondo,"21.615862,6.431375",Ouaka,CF43,Ippy,CF435,Yï¿½ï¿,CF4352,782.775631,ngoubondo,ngoubondo _ Ippy
345, Ngoudongo 1,"19.1315999999999,6.080344",Kï¿½,CF41,Dekoa,CF412,Guiffa,CF4123,552.857998,ngoudongo1,ngoudongo1 _ Dekoa
346, Ngouka,"18.6543439999999,4.831962",Ombella M'Poko,CF11,Damara,CF112,Damara,CF1121,289.231899,ngouka,ngouka _ Damara
347, Ngoumbeti,"18.5042,4.431416",Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111,5279.421865,ngoumbeti,ngoumbeti _ Bimbo
349, Ngourkaba 1,"19.4776619999999,6.135276",Kï¿½,CF41,Mala,CF413,Mala,CF4131,1188.144685,ngourkaba1,ngourkaba1 _ Mala
350, Niango 2,"20.1822839999999,7.574745",Bamingui-Bangoran,CF51,Bamingui,CF512,Vassako,CF5121,1698.472556,niango2,niango2 _ Bamingui
352, Nzembe,"15.4399979999999,3.923608",Mambï¿½ï¿½ï¿½,CF21,Sosso-Nakombo,CF215,Basse-Kadï¿,CF2151,405.94456,nzembe,nzembe _ Sosso-Nakombo
353, Nzerewere,"15.648087,7.016757",Ouham Pendï,CF31,Bocaranga,CF312,Bocaranga,CF3121,4170.690923,nzerewere,nzerewere _ Bocaranga
354, Ouande-Linguiri,"19.9303959999999,6.985596",Nana-Gribizi,CF42,Mbres,CF422,Mbrï¿,CF4221,528.735884,ouande-linguiri,ouande-linguiri _ Mbres
355, Ouatta,"16.123335,3.982216",Mambï¿½ï¿½ï¿½,CF21,Berberati,CF211,Basse-Mambï¿½,CF2114,670.674695,ouatta,ouatta _ Berberati
356, Ouhi,"20.702,8.401754",Bamingui-Bangoran,CF51,Ndele,CF511,Dar El Kouti,CF5111,709.016761,ouhi,ouhi _ Ndele
357, Pate-Mamadou,"15.6156159999999,5.728469",Nana-Mambï¿½,CF22,Bouar,CF221,Zotoua-Bangarem,CF2214,766.955723,pate-mamadou,pate-mamadou _ Bouar
358, Poubati,"16.390008,7.168088",Ouham Pendï,CF31,Paoua,CF314,Banh,CF3148,1999.80714,poubati,poubati _ Paoua
359, Poutem,"17.3087899999999,4.041141",Lobaye,CF12,Boda,CF123,Lobaye,CF1232,943.483233,poutem,poutem _ Boda
362, Sambora,"23.6676779999999,4.956424",Mbomou,CF62,Rafai,CF624,Rafai,CF6241,1865.339738,sambora,sambora _ Rafai
363, Sanda Boguera,"15.456402,5.236147",Nana-Mambï¿½,CF22,Abba,CF224,Nadziboro,CF2242,306.849421,sandaboguera,sandaboguera _ Abba
364, Sanyele,"17.229322,4.577997",Lobaye,CF12,Boganda,CF125,Boganda,CF1251,339.084817,sanyele,sanyele _ Boganda
365, Sosso-Nakombo,"15.496017,3.909855",Mambï¿½ï¿½ï¿½,CF21,Sosso-Nakombo,CF215,Basse-Kadï¿,CF2151,4252.378021,sosso-nakombo,sosso-nakombo _ Sosso-Nakombo
367, Takamala,"22.4597279999999,10.234144",Vakaga,CF53,Birao,CF531,Ridina,CF5311,494.559341,takamala,takamala _ Birao
368, Tedoa,"16.4906879999999,5.551529",Nana-Mambï¿½,CF22,Baoro,CF222,Bawi Tï¿½ï,CF2221,1941.502591,tedoa,tedoa _ Baoro
369, Tilo,"19.227944,6.297644",Kï¿½,CF41,Dekoa,CF412,Tilo,CF4122,1230.857632,tilo,tilo _ Dekoa
377, Unknown 39,"15.092917,5.1425",Nana-Mambï¿½,CF22,Abba,CF224,Abba,CF2241,266.080328,unknown39,unknown39 _ Abba
378, Unknown 50,"14.557016,6.005471",Nana-Mambï¿½,CF22,Baboua,CF223,Koundï,CF2234,1101.097409,unknown50,unknown50 _ Baboua
382, Unknown 87,"20.60572,8.368039",Bamingui-Bangoran,CF51,Bamingui,CF512,Vassako,CF5121,724.323605,unknown87,unknown87 _ Bamingui
383, Wambilo,"15.530004,3.975056",Mambï¿½ï¿½ï¿½,CF21,Sosso-Nakombo,CF215,Basse-Kadï¿,CF2151,1499.46112,wambilo,wambilo _ Sosso-Nakombo
385, Yaloke,"17.092409,5.320378",Ombella M'Poko,CF11,Yaloke,CF116,Yalokï,CF1161,10504.45244,yaloke,yaloke _ Yaloke
387, Yatigaza,"20.3371439999999,5.450146",Ouaka,CF43,Bambari,CF431,Pladama-Ouaka,CF4314,426.556217,yatigaza,yatigaza _ Bambari
388, Yomba,"19.425018,6.181956",Kï¿½,CF41,Mala,CF413,Mala,CF4131,754.117,yomba,yomba _ Mala
389, Yoro Gbaya,"15.81811,5.261489",Nana-Mambï¿½,CF22,Baoro,CF222,Yoro-Samba Bougoulou,CF2222,2800.779002,yorogbaya,yorogbaya _ Baoro
390, Youngofongo 1,"22.983996,4.841015",Mbomou,CF62,Bangassou,CF621,Zangandou,CF6214,980.634914,youngofongo1,youngofongo1 _ Bangassou
391, Zacka,"17.127126,4.942238",Lobaye,CF12,Boganangone,CF124,Boganangone,CF1241,710.665992,zacka,zacka _ Boganangone
393, Zila,"18.4960659999999,4.308145",Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111,1222.300932,zila,zila _ Bimbo
394, Zombere,"16.417864,6.27376",Ouham Pendï,CF31,Bossemtele,CF316,Binon,CF3161,611.856261,zombere,zombere _ Bossemtele
395,BABALA,"22.2621299999999,4.650412",Mbomou,CF62,Gambo,CF623,Gambo,CF6231,2924.054112,babala,babala _ Gambo
396,BAKABA,"19.03517,7.106127",Nana-Gribizi,CF42,Kaga-Bandoro,CF421,Nana-Outa,CF4213,2413.840476,bakaba,bakaba _ Kaga-Bandoro
397,BALLA,"16.638007,5.678798",Ouham Pendï,CF31,Bossemtele,CF316,Binon,CF3161,7642.451388,balla,balla _ Bossemtele
398,BALOUBA,"20.1717559999999,7.472274",Bamingui-Bangoran,CF51,Bamingui,CF512,Vassako,CF5121,703.517876,balouba,balouba _ Bamingui
399,BATAYANGA,"15.4510609999999,6.936927",Ouham Pendï,CF31,Koui,CF313,Koui,CF3131,6771.772143,batayanga,batayanga _ Koui
400,BEBOUZAWE 1,"16.45409,7.368527",Ouham Pendï,CF31,Paoua,CF314,Bah-Bessar,CF3143,2210.893961,bebouzawe1,bebouzawe1 _ Paoua
401,BEMAIDE CITY,"16.5023559999999,7.501965",Ouham Pendï,CF31,Paoua,CF314,Bah-Bessar,CF3143,2346.752555,bemaidecity,bemaidecity _ Paoua
402,BOBORO,"15.658675,6.940241",Ouham Pendï,CF31,Bocaranga,CF312,Bocaranga,CF3121,1959.204946,boboro,boboro _ Bocaranga2
403,BOKONE,"16.384239,6.318983",Ouham Pendï,CF31,Bozoum,CF311,Bozoum,CF3111,24291.03719,bokone,bokone _ Bozoum
405,BOTOKON,"19.014358,6.944847",Nana-Gribizi,CF42,Kaga-Bandoro,CF421,Botto,CF4212,2087.025781,botokon,botokon _ Kaga-Bandoro
406,ECOLE MIXTE 1,"15.637078,6.985692",Ouham Pendï,CF31,Bocaranga,CF312,Bocaranga,CF3121,498,ecolemixte1,ecolemixte1 _ Bocaranga
407,GBADOU,"21.991405,6.537415",Haute-Kotto,CF52,Bria,CF521,Samba-Boungou,CF5211,34236.14344,gbadou,gbadou _ Bria
408,GBANENGUE 2,"16.391576,6.233304",Ouham Pendï,CF31,Bossemtele,CF316,Binon,CF3161,1364.501107,gbanengue2,gbanengue2 _ Bossemtele
409,KAIDOMON,"15.634471,6.997848",Ouham Pendï,CF31,Bocaranga,CF312,Bocaranga,CF3121,480,kaidomon,kaidomon _ Bocaranga
410,Kitessa,"25.363332,5.360081",Haut-Mbomou,CF63,Zemio,CF633,Zï¿½ï,CF6331,2040.883175,kitessa,kitessa _ Zemio
411,KOUMBOLI,"25.1698519999999,5.065872",Haut-Mbomou,CF63,Zemio,CF633,Zï¿½ï,CF6331,2607.555,koumboli,koumboli _ Zemio
412,LA SIM,"21.991405,6.537415",Haute-Kotto,CF52,Bria,CF521,Samba-Boungou,CF5211,28636.14344,lasim,lasim _ Bria
413,LAMORDE,"15.448154,6.937674",Ouham Pendï,CF31,Koui,CF313,Koui,CF3131,1785,lamorde,lamorde _ Koui
414,MANDE 3,"21.991405,6.537415",Haute-Kotto,CF52,Bria,CF521,Samba-Boungou,CF5211,26529.14344,mande3,mande3 _ Bria
415,MBAMBALE,"22.4513579999999,4.375263",Mbomou,CF62,Ouango,CF622,Ouango,CF6221,1201.052952,mbambale,mbambale _ Ouango
416,MBENGOU,"20.153274,7.310695",Bamingui-Bangoran,CF51,Bamingui,CF512,Vassako,CF5121,780.100264,mbengou,mbengou _ Bamingui
417,NDOGBA,"22.436094,4.280663",Mbomou,CF62,Ouango,CF622,Ouango,CF6221,2161.374341,ndogba,ndogba _ Ouango
418,NDOMENDE 1,"21.991405,6.537415",Haute-Kotto,CF52,Bria,CF521,Samba-Boungou,CF5211,26678.14344,ndomende1,ndomende1 _ Bria
419,NGUEREFARA,"22.786318,5.693716",Mbomou,CF62,Bakouma,CF625,Bakouma,CF6251,6761.880928,nguerefara,nguerefara _ Bakouma
420,Obo,"26.4946389999999,5.403851",Haut-Mbomou,CF63,Obo,CF631,Obo,CF6311,5743.848245,obo,obo _ Obo
421,MBILAGBI,"15.4431449999999,6.936879",Ouham Pendï,CF31,Koui,CF313,Koui,CF3131,525,mbilagbi,mbilagbi _ Koui
423,Zemio,"25.1294229999999,5.024257",Haut-Mbomou,CF63,Zemio,CF633,Zï¿½ï,CF6331,8309.277075,zemio,zemio _ Zemio
424,ZIME,"22.82966,5.690336",Mbomou,CF62,Bakouma,CF625,Bakouma,CF6251,1172.313321,zime,zime _ Bakouma
425,BORNOU 1,"21.991405,6.537415",Haute-Kotto,CF52,Bria,CF521,Samba-Boungou,,33493.14344,bornou1,bornou1 _ Bria
426,AMAMEU,"21.991405,6.537415",Haute-Kotto,CF52,Bria,CF521,Samba-Boungou,,30249.14344,amameu,amameu _ Bria
