PName1,PName2,PName3,PName4,RowcaCode4,DESCRIPTIO,CNTRY_NAME,ADM1_NAME,ADM2_NAME,ADM3_NAME,RowcaCode1,RowcaCode2,RowcaCode3
Mono-Yakpa, ,0,0,CAF0430040020076,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Ndaga, ,0,0,CAF0430040020077,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Ndihou, ,0,0,CAF0430040020078,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Ndjio, ,0,0,CAF0430040020079,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Ndokpa, ,0,0,CAF0430040020080,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Ndoro, ,0,0,CAF0430040020081,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Ndoro 2, ,0,0,CAF0430040020082,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Ngadza,Ngadza 1,0,0,CAF0430040020083,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Ngadza 2, ,0,0,CAF0430040020084,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Ngadza 3, ,0,0,CAF0430040020085,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Ngbaka, ,0,0,CAF0430040020086,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Ngbele, ,0,0,CAF0430040020087,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Ngbenda, ,0,0,CAF0430040020088,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Ngoula 1, ,0,0,CAF0430040020089,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Ngoula 2, ,0,0,CAF0430040020090,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Ngoula 3, ,0,0,CAF0430040020091,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Ngoulinga Kouango, ,0,0,CAF0430040020092,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Ngounda, ,0,0,CAF0430040020093,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Ngozo, ,0,0,CAF0430040020094,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Nguendje 1, ,0,0,CAF0430040020095,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Ouago, ,0,0,CAF0430040020096,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
Outene, ,0,0,CAF0430040020097,Village,CAF,Ouaka,Kouango,Azengue-Mindou,CAF043,CAF043004,CAF043004002
