"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"316","ig_17_ret_rapat_dest_finale_non_raison","ig_8_statut_groupe","abri_tropcher","retournes",0.0452819526464117,NA,NA,NA,"admin_0","RCA"
"415","ig_17_ret_rapat_dest_finale_non_raison","ig_8_statut_groupe","autre","retournes",0.00224971878515186,NA,NA,NA,"admin_0","RCA"
"515","ig_17_ret_rapat_dest_finale_non_raison","ig_8_statut_groupe","insecurite","retournes",0.562838797995373,NA,NA,NA,"admin_0","RCA"
"615","ig_17_ret_rapat_dest_finale_non_raison","ig_8_statut_groupe","nsp","retournes",0.00386152903164396,NA,NA,NA,"admin_0","RCA"
"715","ig_17_ret_rapat_dest_finale_non_raison","ig_8_statut_groupe","perte_doc","retournes",0.00224971878515186,NA,NA,NA,"admin_0","RCA"
"815","ig_17_ret_rapat_dest_finale_non_raison","ig_8_statut_groupe","perte_du_proprietaire","retournes",0.016627151491138,NA,NA,NA,"admin_0","RCA"
"134","ig_15_rtr_ret_rapat","ig_8_statut_groupe","autre","retournes",0.00652429017060474,NA,NA,NA,"admin_0","RCA"
"217","ig_15_rtr_ret_rapat","ig_8_statut_groupe","fermeture_site","retournes",0.00208865366700658,NA,NA,NA,"admin_0","RCA"
"317","ig_15_rtr_ret_rapat","ig_8_statut_groupe","meilleure_assist_human","retournes",0.148124498568788,NA,NA,NA,"admin_0","RCA"
"416","ig_15_rtr_ret_rapat","ig_8_statut_groupe","meilleure_qualite_vie","retournes",0.118139152535679,NA,NA,NA,"admin_0","RCA"
"516","ig_15_rtr_ret_rapat","ig_8_statut_groupe","meilleures_secu","retournes",0.0815484443218373,NA,NA,NA,"admin_0","RCA"
"616","ig_15_rtr_ret_rapat","ig_8_statut_groupe","moins_assist_human","retournes",0.0424001730724507,NA,NA,NA,"admin_0","RCA"
"716","ig_15_rtr_ret_rapat","ig_8_statut_groupe","moins_qualite_vie","retournes",0.0954936535066555,NA,NA,NA,"admin_0","RCA"
"816","ig_15_rtr_ret_rapat","ig_8_statut_groupe","moins_secu","retournes",0.0148779341046844,NA,NA,NA,"admin_0","RCA"
"913","ig_15_rtr_ret_rapat","ig_8_statut_groupe","nsp","retournes",0.00487521687073007,NA,NA,NA,"admin_0","RCA"
"1012","ig_15_rtr_ret_rapat","ig_8_statut_groupe","raison_eco","retournes",0.0419279011021183,NA,NA,NA,"admin_0","RCA"
"1112","ig_15_rtr_ret_rapat","ig_8_statut_groupe","regroup_fam","retournes",0.433019308769984,NA,NA,NA,"admin_0","RCA"
"1211","ig_15_rtr_ret_rapat","ig_8_statut_groupe","tensions_communautaires","retournes",0.0109807733094612,NA,NA,NA,"admin_0","RCA"
"dependent.var4","ig_6_hh_membres_tot","ig_8_statut_groupe",NA,"retournes",5.51504163207531,NA,NA,NA,"admin_0","RCA"
"dependent.var11","ig_6_hh_membres_tot","ig_8_statut_groupe",NA,"hote",5.85974199763944,NA,NA,NA,"admin_0","RCA"
"dependent.var21","ig_6_hh_membres_tot","ig_8_statut_groupe",NA,"deplaces_site",6.31787994172766,NA,NA,NA,"admin_0","RCA"
"dependent.var31","ig_6_hh_membres_tot","ig_8_statut_groupe",NA,"deplaces_FA",6.08280893097446,NA,NA,NA,"admin_0","RCA"
"135","ig_9_hote_fa","ig_8_statut_groupe","non","hote",0.833195728444093,NA,NA,NA,"admin_0","RCA"
"218","ig_9_hote_fa","ig_8_statut_groupe","nsp","hote",0.00387528407556558,NA,NA,NA,"admin_0","RCA"
"318","ig_9_hote_fa","ig_8_statut_groupe","oui","hote",0.162928987480342,NA,NA,NA,"admin_0","RCA"
