OBJECTID,VillageAll,PC_DTM,PC_OCHA,PC_UNK,GPS_Source,Duplicate,DuplicatPC,Relation,DataSource,FB_POP,UrbanRural,POINT_X,POINT_Y,admin0Name,admin0Pcod,admin1Name,admin1Pcod,admin2Name,admin2Pcod,admin3Name,admin3Pcod,idps,hh_idp,ind_idp,abris_pdi_,abris_pdi1,retournes,hh_ret_rca,ind_ret_rc,abris_ret_,abris_ret1,retournes_,hh_ret_oth,ind_ret_ot,abris_reto,abris_re_1,TotalPop
2189, Ndiri-Ngambo, ,61610038, , SIGCAF, ,, , SIGCAF,346.5669441,Rural,21.968382,4.326393,Central African Republic,CF,Basse-Kotto,CF61,Satéma,CF616,Kotto-Oubangui,CF6161, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,346.5669441
1843, Ndjangala, ,43320017, , SIGCAF, ,, , SIGCAF,1488.541769,Rural,19.818098,5.754308,Central African Republic,CF,Ouaka,CF43,Grimari,CF433,Kobadja,CF4332, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,1488.541769
540, Ndjo, ,11510030, , SIGCAF, ,, ," SIGCAF, verified by ACF field staff",2404.711207,Rural,17.602892,5.70007,Central African Republic,CF,Ombella M'Poko,CF11,Bossembélé,CF115,Bossembélé,CF1151, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,2404.711207
442, Ndjongo, ,11110084, , SIGCAF, ,, , SIGCAF,1050.145871,Urban,18.484706,4.359474,Central African Republic,CF,Ombella M'Poko,CF11,Bimbo,CF111,Bimbo,CF1111, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,1050.145871
1781, Ndjoubissi, ,43120098, , SIGCAF, ,, , WRI,899.5946435,Rural,20.76159312,6.19723305,Central African Republic,CF,Ouaka,CF43,Bambari,CF431,Danga-Gboudou,CF4312, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,899.5946435
1009, Ndoke, ,22410026, , SIGCAF, ,, , SIGCAF,339.9915305,Rural,15.005515,5.482238,Central African Republic,CF,Nana-Mambéré,CF22,Abba,CF224,Abba,CF2241, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,339.9915305
1375, Ndoli, ,32150037, , SIGCAF, ,, ," SIGCAF, verified by OCHA field staff",1130.476248,Rural,17.218416,6.452794,Central African Republic,CF,Ouham,CF32,Bossangoa,CF321,Ouham Bac,CF3215, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,1130.476248
704, Ndollo, ,12410035, , SIGCAF, ,, , SIGCAF,318.1076347,Rural,17.22292,4.737519,Central African Republic,CF,Lobaye,CF12,Boganangone,CF124,Boganangone,CF1241, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,318.1076347
647, Ndolobo, ,12170018, , SIGCAF, ,, , SIGCAF,274.0644975,Rural,17.847708,3.820707,Central African Republic,CF,Lobaye,CF12,Mbaïki,CF121,Moboma,CF1217, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,274.0644975
597, Ndongo, ,12120028, , SIGCAF, ,, , SIGCAF,319.1031642,Rural,18.133566,3.784384,Central African Republic,CF,Lobaye,CF12,Mbaïki,CF121,Mbata,CF1212, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,319.1031642
927, Ndongue, ,22140033, , SIGCAF, ,, , SIGCAF,799.7316082,Rural,15.600002,5.628799,Central African Republic,CF,Nana-Mambéré,CF22,Bouar,CF221,Zotoua-Bangarem,CF2214, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,799.7316082
1134, Ndouzou, ,31210067, , SIGCAF, ,, , SIGCAF,484.7433657,Rural,15.676026,7.089441,Central African Republic,CF,Ouham Pendé,CF31,Bocaranga,CF312,Bocaranga,CF3121, ,0,0,0,0, ,0,0,0,0, ,0,0, ,0,484.7433657
