"","theloopcount","wash_6_volume_recipient","wash_7_frequence_recipient","volume_total_par_recipient","X_index","X_parent_table_name","X_parent_index","X_submission__id","X_submission__uuid","X_submission__submission_time","X_submission__validation_status","MERGED_FROM_FILE"
"88",1,20,1,20,88,"Questionnaire MSNA - HH",12,60241218,"33f1707e-0f43-471a-b7de-5c831c65ff7b","2019-07-01T16:58:54",NA,"loop_bidons_test_OK_0701"
"89",2,20,1,20,89,"Questionnaire MSNA - HH",12,60241218,"33f1707e-0f43-471a-b7de-5c831c65ff7b","2019-07-01T16:58:54",NA,"loop_bidons_test_OK_0701"
"90",3,25,1,25,90,"Questionnaire MSNA - HH",12,60241218,"33f1707e-0f43-471a-b7de-5c831c65ff7b","2019-07-01T16:58:54",NA,"loop_bidons_test_OK_0701"
"91",4,25,1,25,91,"Questionnaire MSNA - HH",12,60241218,"33f1707e-0f43-471a-b7de-5c831c65ff7b","2019-07-01T16:58:54",NA,"loop_bidons_test_OK_0701"
"92",5,25,1,25,92,"Questionnaire MSNA - HH",12,60241218,"33f1707e-0f43-471a-b7de-5c831c65ff7b","2019-07-01T16:58:54",NA,"loop_bidons_test_OK_0701"
"93",6,25,1,25,93,"Questionnaire MSNA - HH",12,60241218,"33f1707e-0f43-471a-b7de-5c831c65ff7b","2019-07-01T16:58:54",NA,"loop_bidons_test_OK_0701"
"94",7,25,1,25,94,"Questionnaire MSNA - HH",12,60241218,"33f1707e-0f43-471a-b7de-5c831c65ff7b","2019-07-01T16:58:54",NA,"loop_bidons_test_OK_0701"
"95",8,25,1,25,95,"Questionnaire MSNA - HH",12,60241218,"33f1707e-0f43-471a-b7de-5c831c65ff7b","2019-07-01T16:58:54",NA,"loop_bidons_test_OK_0701"
"96",1,20,1,20,96,"Questionnaire MSNA - HH",13,60241002,"309a3cfb-650c-46be-ae93-f9545ff640b5","2019-07-01T16:57:08",NA,"loop_bidons_test_OK_0701"
"97",2,20,1,20,97,"Questionnaire MSNA - HH",13,60241002,"309a3cfb-650c-46be-ae93-f9545ff640b5","2019-07-01T16:57:08",NA,"loop_bidons_test_OK_0701"
"98",3,25,1,25,98,"Questionnaire MSNA - HH",13,60241002,"309a3cfb-650c-46be-ae93-f9545ff640b5","2019-07-01T16:57:08",NA,"loop_bidons_test_OK_0701"
"99",4,25,1,25,99,"Questionnaire MSNA - HH",13,60241002,"309a3cfb-650c-46be-ae93-f9545ff640b5","2019-07-01T16:57:08",NA,"loop_bidons_test_OK_0701"
"100",5,25,1,25,100,"Questionnaire MSNA - HH",13,60241002,"309a3cfb-650c-46be-ae93-f9545ff640b5","2019-07-01T16:57:08",NA,"loop_bidons_test_OK_0701"
"101",6,25,1,25,101,"Questionnaire MSNA - HH",13,60241002,"309a3cfb-650c-46be-ae93-f9545ff640b5","2019-07-01T16:57:08",NA,"loop_bidons_test_OK_0701"
"102",7,25,1,25,102,"Questionnaire MSNA - HH",13,60241002,"309a3cfb-650c-46be-ae93-f9545ff640b5","2019-07-01T16:57:08",NA,"loop_bidons_test_OK_0701"
"103",8,25,1,25,103,"Questionnaire MSNA - HH",13,60241002,"309a3cfb-650c-46be-ae93-f9545ff640b5","2019-07-01T16:57:08",NA,"loop_bidons_test_OK_0701"
"104",1,20,20,400,104,"Questionnaire MSNA - HH",14,60240149,"9215b6e8-ab3e-49bb-a8dc-fdbd3d9d0a4a","2019-07-01T16:53:08",NA,"loop_bidons_test_OK_0701"
"105",2,20,2,40,105,"Questionnaire MSNA - HH",14,60240149,"9215b6e8-ab3e-49bb-a8dc-fdbd3d9d0a4a","2019-07-01T16:53:08",NA,"loop_bidons_test_OK_0701"
"106",3,20,20,400,106,"Questionnaire MSNA - HH",14,60240149,"9215b6e8-ab3e-49bb-a8dc-fdbd3d9d0a4a","2019-07-01T16:53:08",NA,"loop_bidons_test_OK_0701"
"107",1,20,1,20,107,"Questionnaire MSNA - HH",15,60239428,"368f1e90-5a3f-4e91-b966-5c666eb2ffd2","2019-07-01T16:46:19",NA,"loop_bidons_test_OK_0701"
"108",2,20,1,20,108,"Questionnaire MSNA - HH",15,60239428,"368f1e90-5a3f-4e91-b966-5c666eb2ffd2","2019-07-01T16:46:19",NA,"loop_bidons_test_OK_0701"
