"","dependent.var","dependent.var.value","independent.var","independent.var.value","repeat.var","repeat.var.value","numbers"
"213","wash_22_wash_reponse_3","cash_hygiene","sexe_chef_menage","femme","admin_0","RCA",0.158
"214","mssc_2_source_rev_3","pche","sexe_chef_menage","homme","admin_0","RCA",0.106
"215","mssc_2_source_rev_3","jtt_agric","sexe_chef_menage","femme","admin_0","RCA",0.0844
"216","wash_9_insuff_raisons_3","distance","sexe_chef_menage","homme","admin_0","RCA",0.164
"217","wash_9_insuff_raisons_3","distance","sexe_chef_menage","femme","admin_0","RCA",0.154
"218","nfi_7_assistance_3","provision_nfi_essentiels","sexe_chef_menage","homme","admin_0","RCA",0.157
"219","nfi_7_assistance_3","provision_abri","sexe_chef_menage","femme","admin_0","RCA",0.138
"220","educ_6_reponse_3","prov_fournitures","sexe_chef_menage","homme","admin_0","RCA",0.157
"221","educ_6_reponse_3","cash_fournitures","sexe_chef_menage","femme","admin_0","RCA",0.166
"222","rep_souhaitee_3","sante","sexe_chef_menage","homme","admin_0","RCA",0.217
"223","rep_souhaitee_3","sante","sexe_chef_menage","femme","admin_0","RCA",0.214
"224","secal_13_reponse_3","cash_nfi","sexe_chef_menage","homme","admin_0","RCA",0.147
"225","secal_13_reponse_3","cash_nfi","sexe_chef_menage","femme","admin_0","RCA",0.162
"226","sante_7_reponse_3","acces_staff_cs","sexe_chef_menage","homme","admin_0","RCA",0.141
"227","sante_7_reponse_3","acces_staff_cs","sexe_chef_menage","femme","admin_0","RCA",0.142
"228","wash_15_insuff_raisons_3","mixte","sexe_chef_menage","homme","admin_0","RCA",0.165
"229","wash_15_insuff_raisons_3","qualite_insuff","sexe_chef_menage","femme","admin_0","RCA",0.158
"230","wash_21_wash_inquiet_3","environment","sexe_chef_menage","homme","admin_0","RCA",0.201
"231","wash_21_wash_inquiet_3","environment","sexe_chef_menage","femme","admin_0","RCA",0.209
