"","dependent.var","independent.var","dependent.var.value","independent.var.value","numbers","se","min","max","repeat.var","repeat.var.value"
"1211","ig_15_rtr_ret_rapat","ig_8_statut_groupe","tensions_communautaires","retournes",0.0109765498590041,NA,NA,NA,"admin_0","RCA"
"dependent.var4","ig_6_hh_membres_tot","ig_8_statut_groupe",NA,"retournes",5.52049534983318,NA,NA,NA,"admin_0","RCA"
"dependent.var11","ig_6_hh_membres_tot","ig_8_statut_groupe",NA,"hote",5.84729803566903,NA,NA,NA,"admin_0","RCA"
"dependent.var21","ig_6_hh_membres_tot","ig_8_statut_groupe",NA,"deplaces_site",6.31062574618473,NA,NA,NA,"admin_0","RCA"
"dependent.var31","ig_6_hh_membres_tot","ig_8_statut_groupe",NA,"deplaces_FA",6.04432612598503,NA,NA,NA,"admin_0","RCA"
"135","ig_9_hote_fa","ig_8_statut_groupe","non","hote",0.834225599936673,NA,NA,NA,"admin_0","RCA"
"218","ig_9_hote_fa","ig_8_statut_groupe","nsp","hote",0.00387528407556558,NA,NA,NA,"admin_0","RCA"
"318","ig_9_hote_fa","ig_8_statut_groupe","oui","hote",0.161899115987761,NA,NA,NA,"admin_0","RCA"
"417","ig_9_hote_fa","ig_8_statut_groupe","non","retournes",0.81143542899031,NA,NA,NA,"admin_0","RCA"
"517","ig_9_hote_fa","ig_8_statut_groupe","nsp","retournes",0.00315869669929253,NA,NA,NA,"admin_0","RCA"
"617","ig_9_hote_fa","ig_8_statut_groupe","oui","retournes",0.185405874310398,NA,NA,NA,"admin_0","RCA"
"dependent.var5","ig_10_hote_fa_0_4","ig_8_statut_groupe",NA,"retournes",1.36285397173539,NA,NA,NA,"admin_0","RCA"
"dependent.var12","ig_10_hote_fa_0_4","ig_8_statut_groupe",NA,"hote",1.2668117250261,NA,NA,NA,"admin_0","RCA"
"dependent.var6","ig_10_hote_fa_5_17","ig_8_statut_groupe",NA,"retournes",1.64430216144487,NA,NA,NA,"admin_0","RCA"
"dependent.var13","ig_10_hote_fa_5_17","ig_8_statut_groupe",NA,"hote",1.34502844237796,NA,NA,NA,"admin_0","RCA"
"dependent.var7","ig_10_hote_fa_18plus","ig_8_statut_groupe",NA,"retournes",1.10774353612145,NA,NA,NA,"admin_0","RCA"
"dependent.var14","ig_10_hote_fa_18plus","ig_8_statut_groupe",NA,"hote",1.16730322555076,NA,NA,NA,"admin_0","RCA"
"136","bache","ig_8_statut_groupe","non","deplaces_FA",0.882669159363606,NA,NA,NA,"admin_0","RCA"
"219","bache","ig_8_statut_groupe","oui","deplaces_FA",0.117330840636394,NA,NA,NA,"admin_0","RCA"
"319","bache","ig_8_statut_groupe","non","deplaces_site",0.742705638711751,NA,NA,NA,"admin_0","RCA"
"418","bache","ig_8_statut_groupe","oui","deplaces_site",0.257294361288249,NA,NA,NA,"admin_0","RCA"
"518","bache","ig_8_statut_groupe","non","hote",0.872369649614652,NA,NA,NA,"admin_0","RCA"
"618","bache","ig_8_statut_groupe","oui","hote",0.127630350385348,NA,NA,NA,"admin_0","RCA"
"717","bache","ig_8_statut_groupe","non","retournes",0.918456738065508,NA,NA,NA,"admin_0","RCA"
"817","bache","ig_8_statut_groupe","oui","retournes",0.0815432619344918,NA,NA,NA,"admin_0","RCA"
"137","kit_cuisine","ig_8_statut_groupe","aucun","deplaces_FA",0.183794482360196,NA,NA,NA,"admin_0","RCA"
"220","kit_cuisine","ig_8_statut_groupe","complet","deplaces_FA",0.0121509045895446,NA,NA,NA,"admin_0","RCA"
"320","kit_cuisine","ig_8_statut_groupe","incomp","deplaces_FA",0.804054613050259,NA,NA,NA,"admin_0","RCA"
"419","kit_cuisine","ig_8_statut_groupe","aucun","deplaces_site",0.106226632097181,NA,NA,NA,"admin_0","RCA"
"519","kit_cuisine","ig_8_statut_groupe","complet","deplaces_site",0.0394141967437439,NA,NA,NA,"admin_0","RCA"
"619","kit_cuisine","ig_8_statut_groupe","incomp","deplaces_site",0.854359171159075,NA,NA,NA,"admin_0","RCA"
"718","kit_cuisine","ig_8_statut_groupe","aucun","hote",0.134445220091402,NA,NA,NA,"admin_0","RCA"
"818","kit_cuisine","ig_8_statut_groupe","complet","hote",0.018412594570372,NA,NA,NA,"admin_0","RCA"
"914","kit_cuisine","ig_8_statut_groupe","incomp","hote",0.847142185338226,NA,NA,NA,"admin_0","RCA"
